Recall;Precision;Accuracy;F1-score;
0.9762;0.9773;0.976766928433842;0.9768;
0.9774;0.9748;0.976040894947399;0.9761;
0.9767;0.9769;0.976766928433842;0.9768;
0.975;0.9767;0.976470588235294;0.9758;
0.9778;0.9758;0.975863090828271;0.9768;
0.9672;0.9848;0.97678174544377;0.9759;
0.9756;0.9752;0.975374129500667;0.9754;
0.9724;0.9795;0.976010905480893;0.9759;
0.9782;0.9744;0.976262798381958;0.9763;
0.97521;0.97727;0.976245298968297;0.9762;
